NAME,BRK_A3,POP_EST,GDP_MD_EST,POP_YEAR,GDP_YEAR,ISO_A3,REGION_UN,SUBREGION,REGION_WB,lng,lat,E_ISO_CODE,E_1970,E_1971,E_1972,E_1973,E_1974,E_1975,E_1976,E_1977,E_1978,E_1979,E_1980,E_1981,E_1982,E_1983,E_1984,E_1985,E_1986,E_1987,E_1988,E_1989,E_1990,E_1991,E_1992,E_1993,E_1994,E_1995,E_1996,E_1997,E_1998,E_1999,E_2000,E_2001,E_2002,E_2003,E_2004,E_2005,E_2006,E_2007,E_2008,E_2009,E_2010,E_2011,E_2012,E_2013,E_2014,E_2015,E_2016,E_2017,E_2018
Lesotho,LSO,"1958042","6019.00","2017","2016",LSO,Africa,Southern Africa,Sub-Saharan Africa,"28.227","-29.580",LSO,0.07609491655377,0.07615581855377,0.07535700827559,0.07725117265843,0.08192101585457,0.08608963126889,0.08604601190717,0.08864689860282,0.08690110494941,0.09772769633727,0.10713420485377,0.09837814149402,0.09398828172334,0.09601065242314,0.0932291605379,0.09654134258992,0.10294827413608,0.1302399388168,0.06377649625179,0.11233680306345,0.10024078341397,0.11843190707424,0.10588365633971,0.1050765761084,0.10599982242937,0.10965948199415,0.11240524315403,0.12022817630965,0.10709082349939,0.11044405719768,0.15947558681246,0.16234137030247,0.159967945431532,0.16913251844795,0.17490723174537,0.174544932713552,0.174336485069865,0.24772083251,0.24928637506,0.19854109837,0.53441792022,0.2385160669,0.2487760069,0.67083758708,0.73467354402,0.69282665312,0.705967499578438,0.707657162333103,0.718933838369799
Lebanon,LBN,"6229794","85160.00","2017","2016",LBN,Asia,Western Asia,Middle East & North Africa,"35.880","33.923",LBN,5.38168712904,5.47192726904,5.98820371331,7.39838520356,7.52964753957,6.71163380438,6.28804696952,5.467385611992,6.62130781109,7.44421674012,7.52266107192,7.61794241015,5.60438960668,5.984047232498,6.114715047884,7.12690801187,7.52505153392,7.694899282954,5.936380488988,5.97739777516,5.97748557316,7.41306358491,7.962929461166,11.363784121,12.488868541,14.471199414,15.021401345,16.501147862,16.379041993,16.88282699,15.241958645,16.445228525,16.391133076,16.389874105,16.601236546,16.513546104,15.5749414628,14.153651995,17.737238875,21.492071243,20.561900876,20.886690303,23.348888551,23.18778739531,24.78855568738,25.13455287768,25.5732326938423,25.4267465911884,25.5933309411027
Latvia,LVA,"1944643","50650.00","2017","2016",LVA,Europe,Northern Europe,Europe & Central Asia,"24.912","56.851",LVA,13.680080614,13.6948949935,14.748847758,15.689600132,15.97697838,17.465441805,17.364668688,18.17735359,18.288025107,19.293359262,19.328179088,20.201269982,20.148721517,20.433458611,20.299685091,20.297698895,20.915038549,20.957618748,21.178980582,20.818490816,20.141449768,18.365550596,14.580603039,12.276050982,10.7776980024,9.467930108,9.55490179,9.047295005,8.73605939859999,8.1182634166,7.5619724016,7.9129332876,7.867693495,8.0984543726,8.1301667316,8.2422786472,8.74092779295,9.1321797893,8.66095915682,7.90506091617999,8.90952762291,8.11577148056,7.98635451121,7.83989001121,7.60646246641,7.69642035221,7.94207227617192,7.82497448851063,7.82388750010868
Laos,LAO,"7126706","40960.00","2017","2016",LAO,Asia,South-Eastern Asia,East Asia & Pacific,"103.738","18.502",LAO,0.293035842277,0.293214638277,0.307724669755,0.345136744594,0.426698810394,0.358740802094,0.341280017577,0.360605562077,0.356209465377,0.403411006377,0.415380554096,0.159650837889,0.147141079803,0.155275242785,0.133517657128,0.150736500932,0.194727601053,0.212350330765,0.214687240171,0.204657527143,0.214725493535,0.276987526545,0.2826430337,0.2772920746,0.2060710304,0.3182142326,0.3936253996,0.4501110852,0.5349123694,0.3873284658,0.6511002157,0.673029288,0.8746692349,0.9128875992,1.07631070354927,1.04669357759094,1.10367025548249,1.39361698545388,1.35792167839915,1.75763278569234,1.71731256133803,2.17250941197579,2.42906286412735,3.21054666502224,2.49056128528577,2.49889863775996,3.25651899827544,3.45347960705013,3.61254052942061
Kyrgyzstan,KGZ,"5789122","21010.00","2017","2016",KGZ,Asia,Central Asia,Europe & Central Asia,"74.542","41.462",KGZ,15.2652073800101,15.2968892670101,16.3204007206143,17.2912552368813,18.2184730753377,19.2638510771492,20.0960547462861,20.6733402791388,22.3268331529442,22.8099496483765,24.0593678929806,23.0842484085844,22.0765870789749,21.0540248573537,20.1565122738684,19.594430048007,19.5364929249324,21.2296146308225,21.8740557767178,21.9607655267324,23.69572525148,21.30363606217,13.97140153955,10.26877708303,6.72797465303,4.77042974571,5.946217076006,5.8809737615,6.218759147826,4.979085235334,4.861928335104,4.128243947036,5.13124602707,5.75148595459,5.692632676758,5.475179080166,5.49214269048,6.647399988238,7.704798126926,6.93559355174,6.55559001881,7.838649603642,10.243830136252,9.739589752288,9.956450458386,10.68234873405,9.67166673322326,9.53380739684138,10.1326282875188
Kuwait,KWT,"2875422","301100.00","2017","2016",KWT,Asia,Western Asia,Middle East & North Africa,"47.587","29.334",KWT,38.33710011193,40.70072141913,41.32744384507,36.98582804653,30.11664613447,25.79813417924,26.42791994954,26.06909752872,30.06925069686,34.52478564602,32.4203243375,30.76754839706,32.96617315377,35.56198649781,36.24997803946,41.02235727509,44.12395104807,47.40116126959,56.93707053085,66.45446398175,32.60897133785,38.762711035928,27.14560913132,34.30055275186,40.80192016559,40.40143086702,39.70083171352,41.84127321614,46.5746698463,50.25750997786,54.84907108696,57.93251377035,60.64682337861,63.47694371854,66.54003351538,75.37900356139,78.00770186339,77.78338084479,81.71641984166,87.95759725189,86.3602583665,88.1140603374901,87.31555086213,94.64320004821,90.76677513009,95.51584932792,96.5433160883154,95.0907968221081,100.341943959434
Kosovo,KOS,"1895250","18490.00","2017","2016","-99",Europe,Southern Europe,Europe & Central Asia,"20.872","42.571",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiribati,KIR,"108145","211.00","2017","2016",KIR,Oceania,Micronesia,East Asia & Pacific,"-45.611","0.860",KIR,0.0161334939659,0.0161387668599,0.0169411167049,0.0190246176213,0.0235825058313,0.0197688368573,0.0187863004459,0.0198645500459,0.0196159686559,0.0222561041459,0.0228654308882,0.0295507414167,0.0270186946527,0.0285609924286,0.0177969917983,0.0197659473307,0.0155000284962,0.0202570254543,0.0204617240421,0.0195168216042,0.0201190619973,0.0237233348012,0.02032363324,0.01989101169,0.014387003795,0.01488968469,0.015520035147,0.015643453861,0.017155675928,0.01631304238,0.01954195347,0.02306839857,0.0214487151,0.02090273919,0.023447647913819,0.032582085488496,0.029862991898748,0.029947868255182,0.031473798140633,0.047815500047889,0.051555989292515,0.06497391029399,0.092980617190108,0.063451340126035,0.041119090353137,0.0302418225907219,0.0305353947465968,0.0313294187792374,0.0321752536440141
Kenya,KEN,"47615739","152700.00","2017","2016",KEN,Africa,Eastern Africa,Sub-Saharan Africa,"37.796","0.600",KEN,3.769622147236,3.769647591236,3.940625350886,4.078363687403,4.11885356112,4.057255697355,4.604369372335,4.92452690881,4.92686587664,4.86723550326,5.21409420367,5.18669484632,4.855520613568,4.538182335785,5.251329280517,5.394845950883,6.027236497122,6.264980259999,6.230375598932,6.58079859677,6.467683440944,6.221433391868,6.300924778095,6.197674198387,6.177864754915,6.671172406302,7.295908437962,7.046056789265,7.588773996043,7.794348431414,8.605881990234,8.02336363472,7.825944654252,6.998239145647,7.934324212045,8.854353033384,9.811667738527,9.860753667072,10.435897179732,12.176311306152,13.178829147897,13.498638095962,12.602914171956,14.029656040618,14.885705612615,16.962830112502,19.2310931223563,20.5036842932613,20.957443008012
Kazakhstan,KAZ,"18556698","460700.00","2017","2016",KAZ,Asia,Central Asia,Europe & Central Asia,"67.291","48.157",KAZ,161.14145255786,160.91459084406,172.82615273951,188.97484280316,202.08459095856,211.09282465001,223.12681033758,224.42069819841,239.47952257024,242.02223620395,255.4089691501,236.74132178909,229.05201854596,226.05433064337,220.6955190078,214.48341306642,213.0362279503,229.54272861145,235.59690386709,231.76336102529,253.44900446917,261.59763291269,266.2744214897,227.56526935471,203.05176390061,179.61950627702,156.99489187187,134.76803494026,137.1289173252,126.42876131676,126.34482772446,122.8909649695,133.8949417951,149.37998222445,162.83107087334,172.76713645115,194.14167064554,206.08832646848,244.07770087536,217.43790992134,236.65184683587,251.689419546,263.93848094124,279.82601754964,266.81515240806,258.83000927641,264.436671446351,273.61991126658,309.25496764811
