X,Y,Inbetriebn,PLZ,Ort,Strasse,Nennleistu,kWh(2013),kWh(averag,kWh/kW,addrtype,addrlocat
8.1192924,49.1967241,28.11.2005,"76829",Landau,"Nordring,48,a","7","5250","5761,571","823",waterway,river
8.13898499054196,49.20447265,08.12.2005,"76829",Landau,"Helmbachstraße,30","8,2","6629","7231","881",building,yes
8.0757305,49.1678494,31.12.2005,"76829",Landau,Haufenstr. 15,"17,68","12783,288","14743,817","833",highway,residential
8.0970156,49.1365251,24.01.2006,"76829",Landau,Raiffeisenstraße,"15,81","14933","14941,272","945",highway,residential
8.10595565010893,49.20987475,16.02.2006,"76829",Landau,"Georg-Reiß-Straße,9","4,6","4570","4790,429","1041",building,yes
8.1334304874864,49.2044083,21.06.2006,"76829",Landau,"Lindenstraße,36","5,04","4137","4319,571","857",building,yes
8.09007649386889,49.19456385,05.07.2006,"76829",Landau,"Emich-von-Leiningen-Straße,33","5,4","4530","4794,571","887",building,yes
8.08980517284663,49.1919836,13.07.2006,"76829",Landau,"Am Jagdstock,36","5,4","3590","3743,571","693",building,yes
8.12053065,49.20287985,20.07.2006,"76829",Landau,"Klingbachstraße,19","3","2946","3096,857","1032",building,yes
8.0997741,49.1961988,21.07.2006,"76829",Landau,"Kanalweg,32","7,98","7134","6924,333","867",highway,residential
8.11131599997002,49.19559685,01.08.2006,"76829",Landau,"Kapuzinergasse,2","4,81","4047","4159","864",building,yes
8.09015326038864,49.1944338,22.08.2006,"76829",Landau,"Emich-von-Leiningen-Straße,31","3,87","3771","4013,857","1037",building,yes
8.10419548614039,49.2093552,26.09.2006,"76829",Landau,"Flemlinger Weg,8","4,9","4269","3994,429","815",building,yes
8.0837824,49.1950557,15.10.2006,"76829",Landau,"Im Niederfeld,17","2,2","1300","1342,571","610",highway,residential
8.1017709,49.2013453,17.10.2006,"76829",Landau,"Mühlhausenstraße,4","5,46","5049","5377,714","984",building,yes
8.11861745,49.19134005,15.11.2006,"76829",Landau,"Friedrich-Ebert-Straße,31","6","5295","5098,857","849",building,yes
8.10327665846343,49.199878,16.11.2006,"76829",Landau,"Friesenstraße,18","4,29","3283","3367","784",building,yes
8.0871749,49.1954429,22.11.2006,"76829",Landau,"Ulrich-von-Hutten-Straße,9","4,68","4718","4980,429","1064",highway,residential
8.11037105,49.2086268,01.12.2006,"76829",Landau,"Am Gutleuthaus,9","5,78","4834","5166,714","893",building,yes
8.0951794,49.1655567,17.04.2007,"76829",Landau,Impflingerstr. 22,"34,56","28091","28295,58","818",highway,unclassified
8.10119267334214,49.20521465,19.04.2007,"76829",Landau,"Hans-Boner-Straße,12,c","7,48","7174","8090,333","1081",building,yes
8.148655,49.2202716,26.04.2007,"76829",Landau,Dorfstraße 4,"6,72","6155","6719,645","999",building,yes
8.09054583961136,49.1946067,26.04.2007,"76829",Landau,"Limburgstraße,50","5,46","4878","5487,167","1004",building,yes
8.10193777303556,49.13555015,03.05.2007,"76829",Landau,"Hindenburgstraße,12","15,8","10129","9730,833","615",building,yes
